"","Cell.lines","cluster","Luminal","Luminal.infiltrated","TNBC.Basal","HER2.enriched","TNBC.Mes","Normal.like","maxProb"
"ACH-000828","ACH-000828","Luminal",1,0,0,0,0,0,1
"ACH-000117","ACH-000117","Luminal",1,0,0,0,0,0,1
"ACH-000017","ACH-000017","HER2-enriched",0.067,0,0,0.933,0,0,0.933
"ACH-000554","ACH-000554","HER2-enriched",0.117,0,0,0.883,0,0,0.883
"ACH-000276","ACH-000276","TNBC-Basal",0,0,1,0,0,0,1
"ACH-000818","ACH-000818","Luminal",1,0,0,0,0,0,1
"ACH-000856","ACH-000856","TNBC-Basal",0.018,0.244,0.409,0.042,0.194,0.093,0.409
"ACH-000223","ACH-000223","TNBC-Basal",0,0,0.999,0.001,0,0,0.999
"ACH-000019","ACH-000019","Luminal",1,0,0,0,0,0,1
"ACH-000330","ACH-000330","Luminal",1,0,0,0,0,0,1
"ACH-000725","ACH-000725","Luminal",0.874,0,0,0.126,0,0,0.874
"ACH-000643","ACH-000643","TNBC-Basal",0,0.002,0.982,0,0.011,0.004,0.982
"ACH-000711","ACH-000711","TNBC-Basal",0,0.008,0.983,0.001,0.003,0.004,0.983
"ACH-000248","ACH-000248","HER2-enriched",0.001,0,0,0.999,0,0,0.999
"ACH-000857","ACH-000857","TNBC-Basal",0,0,0.998,0,0.001,0,0.998
"ACH-002499","ACH-002499","TNBC-Basal",0,0,0.997,0,0.003,0.001,0.997
"ACH-000196","ACH-000196","TNBC-Basal",0,0,1,0,0,0,1
"ACH-000258","ACH-000258","TNBC-Basal",0.17,0.052,0.771,0.004,0.001,0.002,0.771
"ACH-000691","ACH-000691","TNBC-Basal",0,0,1,0,0,0,1
"ACH-000374","ACH-000374","TNBC-Basal",0,0,1,0,0,0,1
"ACH-000148","ACH-000148","TNBC-Mes",0,0,0,0,1,0,1
"ACH-001705","ACH-001705","Luminal-infiltrated",0.019,0.435,0.296,0.085,0.098,0.069,0.435
"ACH-001392","ACH-001392","Luminal",0.953,0.003,0,0.044,0,0,0.953
"ACH-000876","ACH-000876","Luminal",0.851,0.08,0.002,0.064,0.002,0.002,0.851
"ACH-000668","ACH-000668","TNBC-Basal",0,0,0.994,0.006,0,0,0.994
"ACH-002921","ACH-002921","Luminal",0.998,0.002,0,0,0,0,0.998
"ACH-001396","ACH-001396","Luminal",0.999,0,0,0.001,0,0,0.999
"ACH-001419","ACH-001419","HER2-enriched",0,0,0,1,0,0,1
"ACH-001389","ACH-001389","TNBC-Mes",0,0,0.001,0,0.999,0,0.999
"ACH-001683","ACH-001683","Luminal",0.986,0.002,0,0.012,0,0,0.986
"ACH-002400","ACH-002400","HER2-enriched",0.009,0.069,0.048,0.618,0.142,0.115,0.618
"ACH-000568","ACH-000568","Luminal",1,0,0,0,0,0,1
"ACH-000111","ACH-000111","TNBC-Basal",0,0,1,0,0,0,1
"ACH-000621","ACH-000621","TNBC-Mes",0,0,0.051,0,0.949,0,0.949
"ACH-000755","ACH-000755","Luminal",1,0,0,0,0,0,1
"ACH-000028","ACH-000028","Luminal",1,0,0,0,0,0,1
"ACH-000277","ACH-000277","Luminal",1,0,0,0,0,0,1
"ACH-001394","ACH-001394","TNBC-Basal",0,0.001,0.935,0.001,0.041,0.022,0.935
"ACH-000721","ACH-000721","TNBC-Basal",0.007,0.2,0.472,0.013,0.244,0.064,0.472
"ACH-000902","ACH-000902","Luminal",1,0,0,0,0,0,1
"ACH-000859","ACH-000859","HER2-enriched",0,0,0,1,0,0,1
"ACH-000927","ACH-000927","Luminal",0.998,0,0,0.002,0,0,0.998
"ACH-000768","ACH-000768","TNBC-Mes",0,0,0.004,0,0.995,0.001,0.995
"ACH-000349","ACH-000349","Luminal",1,0,0,0,0,0,1
"ACH-001662","ACH-001662","Luminal-infiltrated",0.003,0.99,0.007,0,0,0,0.99
"ACH-001393","ACH-001393","HER2-enriched",0.009,0.009,0,0.983,0,0,0.983
"ACH-000573","ACH-000573","TNBC-Mes",0,0.001,0.033,0,0.962,0.005,0.962
"ACH-000783","ACH-000783","Luminal",1,0,0,0,0,0,1
"ACH-000759","ACH-000759","Luminal",0.998,0.002,0,0,0,0,0.998
"ACH-000910","ACH-000910","Luminal",0.999,0,0,0.001,0,0,0.999
"ACH-000147","ACH-000147","Luminal",1,0,0,0,0,0,1
"ACH-000930","ACH-000930","TNBC-Basal",0,0,1,0,0,0,1
"ACH-000624","ACH-000624","TNBC-Basal",0.008,0.111,0.807,0.015,0.033,0.027,0.807
"ACH-000699","ACH-000699","TNBC-Mes",0,0,0.377,0,0.62,0.002,0.62
"ACH-000044","ACH-000044","Luminal",1,0,0,0,0,0,1
"ACH-000352","ACH-000352","Luminal",1,0,0,0,0,0,1
"ACH-001390","ACH-001390","TNBC-Basal",0,0,0.999,0,0,0.001,0.999
"ACH-001388","ACH-001388","Luminal-infiltrated",0,0.981,0.001,0.009,0.005,0.004,0.981
"ACH-001395","ACH-001395","Luminal",0.946,0.054,0,0,0,0,0.946
"ACH-000536","ACH-000536","HER2-enriched",0.001,0.002,0.146,0.851,0,0,0.851
"ACH-000642","ACH-000642","TNBC-Mes",0.001,0.002,0.007,0.015,0.967,0.009,0.967
"ACH-001819","ACH-001819","Luminal",0.998,0.002,0,0,0,0,0.998
"ACH-002401","ACH-002401","TNBC-Mes",0.006,0.038,0.191,0.122,0.588,0.055,0.588
"ACH-000212","ACH-000212","TNBC-Mes",0,0.002,0.081,0,0.9,0.017,0.9
"ACH-000849","ACH-000849","TNBC-Basal",0,0,0.997,0.003,0,0,0.997
"ACH-000097","ACH-000097","Luminal",1,0,0,0,0,0,1
"ACH-000288","ACH-000288","TNBC-Mes",0,0,0.015,0,0.985,0,0.985
"ACH-001820","ACH-001820","TNBC-Basal",0,0,1,0,0,0,1
"ACH-002399","ACH-002399","TNBC-Basal",0.003,0.041,0.765,0.025,0.118,0.048,0.765
"ACH-001391","ACH-001391","TNBC-Mes",0,0,0.012,0,0.986,0.003,0.986
"ACH-000934","ACH-000934","Luminal",0.907,0.075,0,0.017,0,0.001,0.907
