,ACH-000828,ACH-000117,ACH-000017,ACH-000554,ACH-000276,ACH-000818,ACH-000856,ACH-000223,ACH-000019,ACH-000330,ACH-000725,ACH-000643,ACH-000711,ACH-000248,ACH-000857,ACH-002499,ACH-000196,ACH-000258,ACH-000691,ACH-000374,ACH-000148,ACH-001705,ACH-001392,ACH-000876,ACH-000668,ACH-002921,ACH-001396,ACH-001419,ACH-001389,ACH-001683,ACH-002400,ACH-000568,ACH-000111,ACH-000621,ACH-000755,ACH-000028,ACH-000277,ACH-001394,ACH-000721,ACH-000902,ACH-000859,ACH-000927,ACH-000768,ACH-000349,ACH-001662,ACH-001393,ACH-000573,ACH-000783,ACH-000759,ACH-000910,ACH-000147,ACH-000930,ACH-000624,ACH-000699,ACH-000044,ACH-000352,ACH-001390,ACH-001388,ACH-001395,ACH-000536,ACH-000642,ACH-001819,ACH-002401,ACH-000212,ACH-000849,ACH-000097,ACH-000288,ACH-001820,ACH-002399,ACH-001391,ACH-000934
RBM5,6.8789458275,5.9603681564,5.9469485283,5.719481945,6.4278674126,7.1295714378,7.4941754341,6.4181513786,5.8370928764,7.0531549454,6.055308342,5.3826155663,5.8867645264,6.198240757,4.5045566559,5.7620778084,6.7651767731,6.9330177307,6.5481362343,5.8786025047,6.7545666695,5.0074062347,5.1902432442,5.449845314,5.9861125946,6.0909485817,5.487929821,5.2329025269,5.9437055588,5.2397379875,4.1630158424,7.0145783424,6.6893129349,7.0251951218,5.8200306892,6.0971031189,6.013654232,5.4011492729,6.0767641068,6.4779620171,6.3047170639,5.7476344109,6.5236797333,6.34582901,7.2145619392,4.6907916069,6.4611830711,6.0740022659,6.6943368912,6.737511158,6.4163990021,6.1847324371,4.7286715508,6.8279080391,6.9578914642,6.3143086433,4.5977935791,3.5101010799,5.1291799545,6.1824302673,7.4369363785,4.6479878426,4.4426584244,6.4109210968,5.9645929337,7.1618070602,6.2036375999,5.9086618423,4.7785973549,5.0594549179,6.6901097298
RBM6,5.9411792755,5.1427726746,4.7086453438,5.9156546593,5.0868515968,5.3763737679,6.5141048431,4.7858119011,5.0845913887,6.0080342293,4.9504776001,3.9320707321,5.420249939,5.085190773,3.402769804,5.2406730652,5.7102828026,6.1898007393,5.1791329384,5.0712137222,5.9004249573,4.4909873009,5.3138008118,4.5047159195,4.5952291489,5.1955170631,5.5701379776,4.6080050468,5.6658420563,5.4193840027,4.8235507011,6.3162922859,5.2681460381,5.976184845,5.1403613091,5.04352808,5.5440897942,4.6724481583,4.9670162201,5.4078998566,5.3429031372,5.4346046448,5.3098344803,5.2575764656,7.1490254402,4.0660634041,6.4324216843,4.4120292664,6.028637886,5.5996184349,5.8313250542,4.0393052101,3.6247677803,5.3024616241,5.5546011925,5.3455133438,5.1133460999,3.735619545,4.6403546333,5.5631489754,6.8644089699,4.6311044693,4.9362940788,5.3429636955,5.0046720505,6.8798527718,5.7092795372,5.2388019562,4.9406695366,4.8690867424,6.472091198
SLC25A13,3.865899086,4.2328987122,5.5998206139,4.76892519,5.4941883087,4.915573597,5.9230780602,3.3284344673,4.5782384872,3.7111535072,5.1924819946,4.6302309036,3.0665922165,6.2383685112,4.5384140015,5.3856759071,4.3754911423,5.46656847,4.8275446892,4.1066579819,2.8319602013,3.8045904636,4.3327794075,4.5426974297,4.7028627396,3.5983889103,6.0365452766,3.1310148239,4.7641177177,4.7662296295,4.7468714714,3.6855478287,4.6977071762,5.1065745354,3.7363343239,5.028357029,3.9576454163,3.9836411476,4.3757414818,5.299387455,5.2530360222,5.0370044708,4.52318573,3.9001228809,2.9656920433,3.3328955173,5.3768010139,4.5999364853,4.4603691101,3.9233775139,4.1471762657,4.3322281837,3.0376739502,5.3732237816,3.8032269478,4.4489340782,3.3868689537,2.4036085606,3.5923016071,3.8255617619,4.4617052078,4.9937152863,4.8883728981,4.0804786682,4.5200829506,4.6455750465,4.9905190468,6.5863070488,5.893913269,2.9667406082,4.7035880089
CACNG3,0.0,0.1103498787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136523442,0.0079747774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576845482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087091783,0.0471754,0.0,0.0,0.0,0.0109616863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF263,4.4852466583,4.8673233986,4.1578278542,4.4504723549,5.5677552223,5.3066415787,5.137052536,4.6969451904,4.6479592323,5.091881752,4.0785245895,3.720256567,5.2049975395,4.3165006638,3.2755823135,5.2357001305,4.5926127434,4.0855264664,4.039024353,5.2189750671,3.6845383644,4.5469436646,3.7283232212,5.3287968636,5.0131897926,5.5570483208,4.1956863403,4.0410413742,5.2951722145,5.0287060738,5.0284452438,4.3735718727,4.9057793617,4.4893760681,4.1105971336,4.725921154,5.7649831772,4.1528568268,4.7111148834,5.6139235497,4.899731636,5.1101126671,4.2983870506,5.7041416168,4.6055178642,5.9717273712,4.9025464058,5.1959776878,4.571518898,4.9002099037,4.9589862823,4.6375699043,4.0321888924,4.87403965,5.2832884789,5.5168943405,2.6745307446,2.1593644619,4.432238102,4.8555960655,4.2914195061,5.253426075,4.5232043266,4.8793530464,4.2659544945,5.517203331,4.5979304314,5.4187464714,4.9015860558,3.9617159367,5.6150074005
CCL26,0.1920603067,0.4772472978,0.0,0.0831371024,0.1041192338,0.0,0.7706108689,1.4710937738,0.055943884,0.0889882371,0.1887300611,0.1997935623,0.8840742707,0.1711671054,0.300168246,0.0,0.1695453674,0.0,0.0,0.3970417082,3.0503764153,0.1797097623,0.0,0.0,0.4778462052,0.0,0.0,0.0446571037,0.1184846535,0.0,1.1847690344,1.1403990984,0.0,2.3393995762,0.0,0.1987732351,0.0,0.7595666051,0.0,0.0,1.0517618656,0.0,3.2730965614,0.0763360709,0.2990957499,0.0,0.7786123157,0.0718258098,0.0,0.0,0.0,0.0,0.2954197526,1.6620140076,0.0,0.0,0.2596027255,0.0,0.0,0.3912838101,0.0,0.0,2.1370084286,0.0,0.296248287,0.0,0.0,0.0,0.0,0.0,0.2523671985
USH1C,0.1512652487,0.0758570731,0.1130830199,0.1977421194,0.1579336375,0.4423458576,2.9243013859,0.106301412,0.0440037511,0.6319786906,0.1546907872,0.2595774233,0.6683215499,0.1767376512,0.0226547252,0.0,0.1129536256,4.3053283691,0.5617220402,0.1024202928,0.4793940783,0.0,0.0328724273,0.0722910538,0.0138466889,0.3312156498,0.0,0.0,0.0,0.0326890908,0.0288788732,0.0576166287,1.4744360447,0.124928914,0.2379735857,0.0750561059,0.0798334181,0.0730496794,0.0,0.1901103854,0.1489926577,0.0135008497,0.0,0.2935270369,1.5871489048,0.0,0.1065613925,0.1513977498,1.7770220041,0.0159742013,0.188210994,4.4777808189,2.3813331127,0.0777598172,0.182649076,0.5002442598,0.0,0.0,0.141742751,0.0255306363,0.0308007747,0.0,0.0,0.1279950589,0.0528749228,0.2042997479,0.0556274243,0.0,0.0,0.0,0.0984923244
AASS,0.1033767834,0.4929278493,0.2160760909,0.1429191977,1.388261199,1.3144413233,3.9714515209,0.1605678648,0.1658463478,0.0636382326,1.5738786459,2.8447051048,1.2845082283,0.2364240438,0.2428975701,2.7492833138,0.7165282965,0.0133865047,0.9207521677,0.1999430358,2.5438027382,0.1875967383,2.6173336506,0.8861872554,0.0552636907,0.0680626556,0.1522392482,0.7340128422,3.1644854546,0.080289267,2.0395138264,0.3916929364,3.3891193867,2.5072009563,0.191838026,1.2488566637,0.107304886,1.8119066954,2.922930479,0.5377085805,0.9711355567,0.701223433,4.2791070938,0.1468116045,0.9242299199,0.246985659,1.6523901224,0.688698709,0.5666213036,0.5756347179,1.0590852499,1.2197725773,3.0772993565,0.3374599218,1.1049069166,0.2288777828,0.5788238049,0.4259845018,1.2487291098,1.4740154743,3.7466890812,1.8818016052,1.5233260393,3.410009861,0.113992475,1.2232866287,0.8894867897,1.1846357584,2.17345047,1.5168119669,2.4145929813
TENM1,0.0591434278,0.7478659749,0.51911515,0.0441618711,1.091137886,0.0095248995,0.3195300698,0.0569275133,0.0209764726,0.0821221247,0.0076820599,0.0108600259,1.4402931929,1.4716141224,0.0178805869,0.2115455419,0.0953951627,0.0134222386,0.0085829794,0.057755243,3.2262372971,0.0,0.0,1.093282938,0.0221305694,0.0435880832,0.0,0.0149065536,0.819077909,0.0564059541,3.832464695,0.011202204,2.0355393887,0.0327187069,0.0144881289,0.0878497735,0.1371178776,0.0491567627,0.1564095616,0.0137952473,0.3334649503,0.0350467153,0.012223959,1.5950739384,0.01093305,0.0208541863,0.3611529768,0.1050075218,0.0711585581,0.0564004034,0.2411189675,0.0373765975,2.304805994,0.1656007022,0.0139881447,0.9499838352,0.0098802904,0.1248415932,0.003515888,1.5676622391,0.1738016009,0.0,1.2061055899,0.0112251081,0.5070101023,0.6708539128,0.0305197146,0.161146,0.0294571258,0.7522116303,0.1122036949
MASP2,0.4863272011,0.6335483789,0.5618178248,0.6061162353,0.5059305429,0.4261080027,1.6790047884,0.6949167252,0.4222642183,0.8459524512,0.3815724254,0.3866277635,0.190852493,0.3542038798,0.2673428357,0.2907086611,0.3131831586,1.5474449396,1.5837548971,1.3984105587,0.457908392,0.1460086703,0.0861410648,1.7225446701,0.9193866253,0.3703551292,0.4421027005,0.2732162774,0.8093189597,0.4041107297,0.0550692901,1.2024052143,1.5960239172,2.0684576035,0.3705002069,0.4626533687,1.0136623383,0.2861880064,0.8914673924,0.5642806292,0.8415384293,0.7753565311,0.7606765628,0.6051747799,0.8562216163,0.3066962063,0.1938928366,1.4059379101,0.7915590405,1.0141910315,0.86466676,1.3189183474,0.9727544188,1.1657383442,1.7678115368,1.5328854322,0.4403441846,0.056000784,0.2082025856,0.7735145092,1.5051134825,0.3454792798,0.0128804194,0.5245531797,0.3219696581,0.6352445483,0.9563533664,0.8698003292,0.0684506893,0.1561001539,0.9017739892
