"","ACH-000828","ACH-000117","ACH-000017","ACH-000554","ACH-000276","ACH-000818","ACH-000856","ACH-000223","ACH-000019","ACH-000330","ACH-000725","ACH-000643","ACH-000711","ACH-000248","ACH-000857","ACH-002499","ACH-000196","ACH-000258","ACH-000691","ACH-000374","ACH-000148","ACH-001705","ACH-001392","ACH-000876","ACH-000668","ACH-002921","ACH-001396","ACH-001419","ACH-001389","ACH-001683","ACH-002400","ACH-000568","ACH-000111","ACH-000621","ACH-000755","ACH-000028","ACH-000277","ACH-001394","ACH-000721","ACH-000902","ACH-000859","ACH-000927","ACH-000768","ACH-000349","ACH-001662","ACH-001393","ACH-000573","ACH-000783","ACH-000759","ACH-000910","ACH-000147","ACH-000930","ACH-000624","ACH-000699","ACH-000044","ACH-000352","ACH-001390","ACH-001388","ACH-001395","ACH-000536","ACH-000642","ACH-001819","ACH-002401","ACH-000212","ACH-000849","ACH-000097","ACH-000288","ACH-001820","ACH-002399","ACH-001391","ACH-000934"
"FOXA1",18.7657430321952,16.2432381689534,17.2264329436059,17.9974263109243,-17.613564849008,19.5664325161665,-11.3819549008535,-9.08604666915115,14.0088792773781,11.7699543817087,20.604575303501,-15.5783448105714,-12.7094106676114,15.940315032473,-15.6593036336452,-17.5748395179682,-5.38817950831115,-0.990267068798091,-2.09007107246546,-15.4436449693797,-27.6498419688333,-7.29418652450785,9.72522061175527,8.36499328862009,-7.27655844986041,10.8203585540672,11.2086909521759,3.98259866022605,-19.4799445827045,12.6959876184822,-10.6556088184683,15.8476889418738,-11.0903793227035,-18.2604523519165,21.1359569748463,15.0314120561437,21.1333059276808,-17.3231805261172,-11.5426822869682,11.5608438581765,0.456028305355944,21.8412015778187,-21.9351345951033,12.3251151395846,0.72442805098119,10.1499660034303,-19.7788138563244,16.8393975369894,14.9756496495073,19.1363985088302,12.0846168156093,-12.4261753144814,-13.1881325207272,-20.2690788983741,11.6750952232787,14.5574651183679,-12.3426270303776,-7.14491315559579,13.9810174545405,-2.12335411350218,-14.9839142336094,10.0743047136026,-12.0034109106313,-19.1289997482576,-6.48255630518696,19.0264657717581,-22.2408235081967,-7.51194262924471,-11.7958512617613,-18.975919227276,9.91050681330721
"ETS1",-11.7265956687633,-8.82440578407477,-9.59935051357524,-9.95709667032565,5.80557130926892,-15.0908571979925,2.69962124882415,6.1939274377929,-7.47846260403472,-7.01642741564912,-12.6211970724846,10.5138126142471,10.5154070204584,-8.95069429180507,12.8426518472552,6.95860469360327,-3.17885854897572,-3.8690594372201,-2.41821102213936,10.2822476313378,16.4999041110441,7.85469805445589,-5.65837926898964,-3.39950869008249,4.51707932565645,-6.8058980679125,-7.5063196127941,-0.420139667753546,11.8739154998747,-7.96112856505806,9.01283336282394,-9.27340153119837,-2.56772620322649,8.65902275166623,-12.3765529646705,-8.59349294695697,-13.7935343728262,12.8720009940795,7.20864422663361,-13.7142413545192,-2.79454361156804,-14.0918486681022,15.012723156227,-11.6857711483455,-2.39293835520161,-3.27981251997137,10.9161020513418,-13.7365642763162,-8.16633902849389,-12.7200799281611,-9.13437216094646,3.81664833382319,9.86425602838483,12.0683050801411,-11.1140649070115,-9.90850146431259,9.85150169243407,6.56119004558635,-6.6518512368159,-2.19332407800568,10.5544770206365,-6.95920849443477,9.39880662566098,12.6768288574015,2.57971157370642,-14.0648989984393,12.1825789047326,-0.261670880354616,7.32254723071775,13.7363931053211,-3.5062638518924
"GATA3",14.0208409045605,14.9050495907681,1.45291066000013,4.63382636823261,-12.3785745341147,18.6384945982817,-8.64418623343787,-7.15655760063802,15.2260809950467,16.087037127846,12.8723460704185,-10.7053041874066,-10.6832432678206,-1.11731071297935,-13.4856742717264,-14.1685274875471,-4.09896819572509,-1.11160779767859,-2.96255757581351,-12.2213737138078,-19.8234701992063,-7.13625078814982,9.89595759415623,6.77128551995212,-6.92190734360598,14.0365362609655,8.27924237455958,2.12894425887745,-14.5593099692796,9.85856618622844,-8.86811896801555,16.2792953596009,-7.90964459512754,-12.7225068328984,13.8301626203565,16.0123202045527,15.0386612554118,-13.4162016646265,-8.84877708456844,3.6580076186074,-8.43678198429947,15.6795302210923,-16.2665052047683,15.7794346790149,4.14737105662789,3.32489263981904,-16.5713278883235,15.885220968409,11.3216319247243,14.8295706720518,14.9026452743685,-9.32749884251335,-8.9592468348683,-13.1289954020798,15.8564610200701,13.2877820056615,-10.934537846389,-4.41923268166493,10.8189507866586,-5.08207198053266,-12.6575918693191,8.09141059133737,-10.0962566626549,-15.059387551611,-10.1331123887275,15.5490126657257,-16.9399927127353,-5.7657838917682,-11.3050660657017,-15.6079940048477,9.88374489119379
"EGFR",-15.1769891110014,-7.47159726723444,-1.12893460413386,-2.57447406703488,6.4141072588306,-14.6589381501469,-1.26019297851978,15.650399059688,-9.05345106107743,-6.59695709333251,-9.24506980438582,15.2287507591514,11.6214569110866,1.32843097846533,19.6060486159714,4.54009870251717,-2.49869280421641,-4.2310138467808,-4.2415280379198,12.9818960928612,1.67300400337951,11.9869258481729,-7.34768440469695,-3.95010012046741,13.4502622421903,-9.49095173919835,-9.05417907496222,5.60203254708721,1.1484389981971,-6.445223258307,13.3898474128879,-13.7704012407756,4.9938058271612,-5.34670425855673,-10.2504071475486,-9.98216796005152,-13.467927286694,13.5539885102183,0.59558349960915,-11.6004855660078,12.3691656956731,-11.0148235637482,11.5760508240987,-13.0602982557408,-5.96229622356758,-3.04104147906159,3.77244317879233,-13.5080463529651,-6.18905272746051,-12.9370899319736,-11.6961754372274,-2.0361487613548,11.5708664046593,5.77832435157128,-15.9814617796964,-8.82917452117354,8.07628333920147,6.21247183878327,-10.4504889560384,12.0496742996831,10.1778854988956,-7.16213158571577,13.5739383620339,7.45154033991616,14.4590425353148,-12.6472548502501,3.98071907934773,-0.91385912255802,14.7825330525604,7.15410134627579,-7.91182426960225
"ESR1",11.1484472324686,8.25993209053208,-2.92791112581516,1.20428646615412,-8.8154431451935,19.8719143867242,-5.33875007961456,-8.68234037996076,14.9898597825478,15.5197048659056,2.01016134134735,-7.06915124229655,-8.26407439278884,-4.4177989623944,-12.1417584086546,-11.7954020757292,-4.36589265678461,-0.435874312454327,-2.34023375165247,-9.63887002113793,-15.0348035092304,-9.16301486505832,6.67737614215279,9.39417372487396,-10.5963474675993,17.2072694145517,4.77736209257769,-2.14644866431952,-10.6629342795657,6.35938477672479,-8.54657244863647,17.1530196221383,-8.69956715000912,-8.73409775120397,7.03809554091468,12.6979945663732,12.9350078319093,-10.2702707757421,-5.90616090201093,3.29271567011983,-9.05323666758113,12.4611741478521,-12.7278922991806,17.2124451037723,4.49559031113774,1.43649230913151,-10.9626629750596,14.2932709521686,10.4494718779192,3.96716588453936,17.0799828745761,-7.41022602978604,-6.29659352021363,-12.7126259742359,19.6572245353547,15.389232033111,-8.63488237532574,-0.466427304547376,13.2081598855656,-5.767859903619,-8.75141841742989,6.10714276056839,-9.15710322258545,-10.460710754329,-10.3140201496173,17.4357975227808,-13.563240081549,-5.33593658950528,-11.2038085183364,-11.195007407465,7.22738117128423
"PBX1",10.5603893581662,12.0112797581621,12.8140213015482,10.4125555585499,-9.26825584700945,11.3451596854282,-6.1811574746947,-5.46618106680822,11.9821554669187,11.1045536736632,11.2641839220737,-10.0087162748533,-6.44426351089766,11.6117843147394,-10.7387599374155,-8.58387905264084,-0.250980304866331,-1.59700378675454,3.28096763159447,-9.95126809105077,-16.661808733528,-4.44054274040215,4.10959798056696,1.71968963785773,-5.43524135276452,6.74358395172819,6.88125606159578,2.89141283688744,-11.5581510674049,8.11750558675504,-7.47265870508954,6.44343702176732,-4.98108120586186,-9.48254295303394,10.09223493605,12.7822765781388,11.1052959784516,-10.2445765937635,-7.16059405635796,11.0831649551681,-2.67954252743008,11.1427839597513,-12.6375210003519,9.22004306780789,0.582958852094473,4.49625010617466,-8.96404764428578,11.9108106518403,4.29986905481451,12.2144326892283,9.90964457319667,-5.00502514094662,-8.18600544777153,-8.66970355112763,2.81353614241796,10.3608085621031,-6.42707008082722,-7.72947546446645,6.18572721732423,-1.19343102566254,-10.292555373653,5.18633631756391,-8.65415973386227,-9.6177571639249,-5.47359521156703,9.56798384389351,-10.5361425223639,-0.447595621791192,-7.50592737777097,-11.2810638038317,1.63053396971731
"FOSL1",-7.99361391405933,-5.50435910269935,-5.53481428617251,-4.84935196995479,3.77827623138896,-10.3309884320267,1.21131225511748,3.1164241543986,-6.13500378450942,-6.71998494851985,-9.42298796312513,4.30689237877659,6.83052849409472,-3.82547993809043,7.83756942653898,6.26882125292814,-3.66053724667144,-1.19479511267523,-2.78037350972621,7.76966860973388,13.7162363840836,6.71986030661022,-5.6105363800126,-1.7516530409177,-0.825619644584581,-5.92135024946228,-5.55637524615574,-0.38845629439059,8.87217643135469,-5.24642950473274,6.09619239293635,-6.56636419745345,-2.3791370532452,5.73781087519282,-7.73873830210855,-7.16555253401231,-7.44166030884733,8.09997195382213,6.22126707239476,-7.85962545660604,2.2480530065332,-8.27921882693085,13.1750921357347,-6.8425696386097,-2.74800834800454,-2.74137390541789,12.1629487644737,-10.5065064156826,-5.73301366428609,-9.35118443403934,-7.80883224644094,-0.0597236472560426,3.94426532442527,8.41480209915254,-7.86200018332518,-8.43476218230963,5.39471469071278,3.95709712599404,-5.38679165870701,0.211592336802724,8.93828899936086,-4.73654891019459,6.88176350372939,9.79756646861967,2.44745710974059,-7.76090164760156,9.42903207490515,-0.532537216882087,5.59648492176159,9.89767503634035,-0.432184717269975
"ZEB1",-6.76989793932413,-6.07727594934138,-5.83699051670517,-6.32115720515615,0.687628978414976,-8.47534393715495,8.05987827332144,-4.25324642898043,-4.3129691111461,-3.36823223746785,-8.11582296027311,0.853986399830261,0.992998536696989,-6.50598409812605,1.86989815679309,6.47392372328233,-3.37806850697371,-2.67558953670841,-4.64020413039946,-0.791858211885584,15.2564921511243,1.86537002957325,-2.79945784803862,-4.92431738177773,-3.94031736730894,-5.45554149623599,-4.17567108257097,-3.2756363196497,13.2468371402255,-4.89161427928242,2.06456738095668,-6.53900675811861,0.973441093524461,9.57254635488346,-8.51365336229005,-6.17016060880581,-7.8473782481495,5.36958006722919,9.93055281656597,-6.42877175030831,-4.96580614190474,-5.76960960885612,11.7438505717708,-3.61254734969057,-2.54248010795644,-3.64879901315641,11.2469885500987,-6.29554767215381,-8.43660108914972,-8.34699458645262,-6.53879301915584,2.9445671332131,0.439834332092736,11.9365181191688,-5.13325652521692,-3.8202143172287,3.5798605096014,1.60413888248115,-3.70836955848174,-5.1985496722421,1.21885498699496,-2.78204576348827,0.690582187077356,11.7377551694832,-3.98171888028222,-6.2059876301061,15.0153177087901,0.494914721484366,0.965073637690616,15.4508643432173,-3.33294914573429
"ELF3",8.65697834769666,8.49186729958237,11.052167357696,11.6358128757257,-1.44772119145231,3.09603795669273,-9.39953795647899,3.02219224627879,-2.70716459950253,-0.429782019842003,8.84874040418545,-0.908322343421516,-4.04300178554265,12.6109035193498,1.04038498761707,-5.35953667331487,1.18778839740208,-3.4016251952715,1.40182254981082,-3.02795444249865,-14.2629828251006,0.864214223521524,3.53234935298808,2.67437479555699,4.92052198773885,-1.31784992270228,2.94440407102314,4.88421555938268,-13.0830032514694,4.36733498524464,2.12475682139388,2.83754399598639,1.37852396760556,-11.1473062445266,8.31172052432872,-1.12776307846607,8.09704334233154,-3.84799090493866,-7.62123687146659,0.514381011381647,9.00829561425054,6.41406865543291,-9.95303567489064,-4.98019041087252,0.793079301057823,7.05971998799823,-9.04731305752482,-2.53781004111621,7.71485098437103,-1.39049979297216,-0.86573346118461,-3.29297492155673,-1.5484600994085,-10.4701594883832,-7.03393570931564,2.76223028951855,-3.25765613990131,0.141090203289911,1.12395507474228,6.46094014647711,-5.19134567479919,-0.269195591729288,0.483604973360945,-10.4025210325222,5.01894204837934,5.4555221855363,-12.5918584832613,0.213876256752029,2.00801896910118,-9.08707766956938,1.51340166260883
"FOS",2.47835024648709,3.72241175553636,-0.53820014715074,7.75257717938377,-0.771042283467818,0.179095353209671,-1.65994075081786,-0.514339596041879,10.4218201595248,3.06271914691142,-0.835696498157904,-1.77952644023265,-1.31904443029654,-0.426914405256436,-2.55846685485435,-2.41845038186146,-3.44155533360522,-0.438830536477922,-3.12303794402226,-5.13554355298904,-5.73743009024131,1.27372237026134,-1.5729505817004,-0.887023894350384,1.58123993697597,1.42090928310831,1.19366826361403,2.07528852348509,-2.32043882009585,3.53233763143559,1.14376671754701,-0.927254025028529,-6.83962162020482,-5.857116974103,2.92045898083595,9.79066464927937,6.51804739045504,-1.94727126821867,1.2272923274236,-1.93332938878562,3.12093337141545,2.12326672965845,-1.71072704015468,5.91204513901146,-4.32267252083967,2.34705789809369,-6.17729674246727,2.57922687477734,0.419216271892156,4.43579253370917,-1.99699472403855,-5.15711690759141,-4.93859645829304,-4.43513735474655,3.09357779083218,6.98460538371657,-0.175228982340548,-3.93348176548072,2.24536695567245,2.0734768785885,-5.81394707377479,1.45791373746362,-0.0769850055714826,-0.0559911715413184,-2.20460976092626,5.34288588957073,-5.3005749755484,-0.509137999484704,1.05541883378797,-2.8898195242936,-1.63428961813691
