Drug,Modèle,R2_CV,RMSE_CV
DECITABINE,Random Forest,0.050719365535657854,0.12157387101083018
DECITABINE,ElasticNet,-0.3818096155391858,0.14458991860786954
DECITABINE,Régression lin.,0.1113167509231128,0.11806423241649
VER-49009,Random Forest,-0.27194165124658704,0.019297798324232313
VER-49009,ElasticNet,-0.6006891913430683,0.025609991877224073
VER-49009,Régression lin.,-1.159532621158638,0.021367383608890417
LY2603618,Random Forest,0.2980630410337498,0.07449706412377102
LY2603618,ElasticNet,-0.18679588995936625,0.09854501152954899
LY2603618,Régression lin.,-0.11063650984010973,0.08724544009110537
BAY-11-7085,Random Forest,-1.7838344699317283,0.03159491854311505
BAY-11-7085,ElasticNet,-1.3027092636169306,0.03294272951027343
BAY-11-7085,Régression lin.,-5.659233685071592,0.03230838833684223
IDAZOXAN,Random Forest,-0.6833938094841181,0.03474677921122868
IDAZOXAN,ElasticNet,-4.7758203322556305,0.04881697217002446
IDAZOXAN,Régression lin.,-0.34623671181533766,0.031471502877077936
