Drug,KW_stat,p_value,note
DECITABINE (BRD:BRD-K79254416-001-21-8),15.453808260704818,0.00044080668688672796,"p < 0.01 (sans correction FDR, n=30 lignées)"
VER-49009 (BRD:BRD-K38548312-001-01-0),13.878129117259547,0.0009691757803746729,"p < 0.01 (sans correction FDR, n=30 lignées)"
LY2603618 (BRD:BRD-K14109347-001-03-4),13.632643348986083,0.0010957440217931214,"p < 0.01 (sans correction FDR, n=30 lignées)"
BAY-11-7085 (BRD:BRD-K48684885-001-04-2),12.86034255599472,0.0016121746807871127,"p < 0.01 (sans correction FDR, n=30 lignées)"
IDAZOXAN (BRD:BRD-A18696154-003-22-6),12.729044834307993,0.001721563452270926,"p < 0.01 (sans correction FDR, n=30 lignées)"
SCH-900776 (BRD:BRD-K75009076-001-02-1),12.120159151193633,0.002334215133576139,"p < 0.01 (sans correction FDR, n=30 lignées)"
LEVOBUNOLOL (BRD:BRD-K31812033-003-11-0),12.112358276643988,0.0023433373720851223,"p < 0.01 (sans correction FDR, n=30 lignées)"
BNC105 (BRD:BRD-K20468903-001-01-6),11.953886693017125,0.002536567863567627,"p < 0.01 (sans correction FDR, n=30 lignées)"
CARVEDILOL (BRD:BRD-A10977446-001-12-1),11.951814058956913,0.0025391979145906133,"p < 0.01 (sans correction FDR, n=30 lignées)"
BNTX (BRD:BRD-A55484088-050-02-5),11.547258297258296,0.0031084559703544214,"p < 0.01 (sans correction FDR, n=30 lignées)"
VE 821 (BRD:BRD-K26756394-001-02-2),11.525170068027204,0.0031429763872109066,"p < 0.01 (sans correction FDR, n=30 lignées)"
PP-2 (BRD:BRD-K95785537-001-23-1),11.30263157894737,0.0035128915069729356,"p < 0.01 (sans correction FDR, n=30 lignées)"
PU-H71 (BRD:BRD-K36529613-001-02-6),11.259379509379514,0.003589688838719618,"p < 0.01 (sans correction FDR, n=30 lignées)"
ADAVOSERTIB (BRD:BRD-K54256913-001-08-7),11.20310723758999,0.0036921231064262045,"p < 0.01 (sans correction FDR, n=30 lignées)"
LY2606368 (BRD:BRD-K20463415-300-01-4),11.183621933621936,0.0037282699741917084,"p < 0.01 (sans correction FDR, n=30 lignées)"
BERZOSERTIB (BRD:BRD-K04701033-001-03-9),11.171277997364953,0.003751351894814092,"p < 0.01 (sans correction FDR, n=30 lignées)"
ANISOMYCIN (BRD:BRD-K91370081-001-25-1),10.92687747035572,0.004238954013177227,"p < 0.01 (sans correction FDR, n=30 lignées)"
CGS-15943 (BRD:BRD-K49049886-001-08-7),10.44202898550725,0.005401846211884512,"p < 0.01 (sans correction FDR, n=30 lignées)"
CHROMOCARB (BRD:BRD-K94720315-001-10-4),10.3769632257217,0.005580473704788665,"p < 0.01 (sans correction FDR, n=30 lignées)"
TENIPOSIDE (BRD:BRD-K10362825-001-04-2),10.375975748389521,0.005583229680741775,"p < 0.01 (sans correction FDR, n=30 lignées)"
LASALOCID (BRD:BRD-A72711497-236-03-8),10.226643990929702,0.006016064352712585,"p < 0.01 (sans correction FDR, n=30 lignées)"
VELBAN (BRD:BRD-K06519765-065-01-6),10.225955204216064,0.0060181366021238416,"p < 0.01 (sans correction FDR, n=30 lignées)"
NAVITOCLAX (BRD:BRD-K82746043-001-19-3),10.20488821523304,0.006081863655923997,"p < 0.01 (sans correction FDR, n=30 lignées)"
CYCLOCYTIDINE (BRD:BRD-K67536197-003-11-4),10.069985569985576,0.006506245059209021,"p < 0.01 (sans correction FDR, n=30 lignées)"
CRENOLANIB (BRD:BRD-K22127577-001-03-7),10.025691699604735,0.006651945905152088,"p < 0.01 (sans correction FDR, n=30 lignées)"
POZIOTINIB (BRD:BRD-K50010139-001-01-5),9.917620310723763,0.007021277093341085,"p < 0.01 (sans correction FDR, n=30 lignées)"
DASATINIB (BRD:BRD-K49328571-001-15-0),9.891225336393685,0.007114554467267298,"p < 0.01 (sans correction FDR, n=30 lignées)"
AZD7762 (BRD:BRD-K86525559-001-07-8),9.80483405483406,0.007428606209513939,"p < 0.01 (sans correction FDR, n=30 lignées)"
SEPANTRONIUM BROMIDE (BRD:BRD-K76703230-004-04-1),9.685111989459813,0.007886869469939653,"p < 0.01 (sans correction FDR, n=30 lignées)"
CHIR-124 (BRD:BRD-K02241333-001-02-7),9.66929824561403,0.007949477125891162,"p < 0.01 (sans correction FDR, n=30 lignées)"
CLOFARABINE (BRD:BRD-K34022604-001-06-6),9.593544137022391,0.008256355029930596,"p < 0.01 (sans correction FDR, n=30 lignées)"
RAF265 (BRD:BRD-K93123848-001-04-1),9.5686232041008,0.008359876689531084,"p < 0.01 (sans correction FDR, n=30 lignées)"
DOVITINIB (BRD:BRD-K85402309-043-01-9),9.408222811671095,0.00905795949282841,"p < 0.01 (sans correction FDR, n=30 lignées)"
BIS(MALTOLATO)OXOVANADIUM(IV) (BRD:BRD-K16180792-001-01-7),9.31973827699018,0.009467701278285246,"p < 0.01 (sans correction FDR, n=30 lignées)"
ENOCITABINE (BRD:BRD-K32007074-001-02-9),9.281771968046488,0.009649144851109561,"p < 0.01 (sans correction FDR, n=30 lignées)"
