Drug,Modèle,R2_CV,RMSE_CV
DECITABINE,Random Forest,0.29915286696259347,0.11556000388399008
DECITABINE,ElasticNet,0.09465064513276489,0.13134211197545642
DECITABINE,Régression lin.,0.0927633164155286,0.1314789413025252
VER-49009,Random Forest,0.3688817655384885,0.019432819382442977
VER-49009,ElasticNet,-0.09750566893424106,0.025626177866776293
VER-49009,Régression lin.,0.2900695675296947,0.02061049141639272
LY2603618,Random Forest,0.41256839244865584,0.07406521403490825
LY2603618,ElasticNet,0.23650599865162336,0.08443809788521647
LY2603618,Régression lin.,0.3232920457286349,0.07949435091073132
BAY-11-7085,Random Forest,-0.004592884043552292,0.030322460487504047
BAY-11-7085,ElasticNet,-0.09750566893424062,0.03169368784008258
BAY-11-7085,Régression lin.,-0.055889646428902484,0.031086988729707072
IDAZOXAN,Random Forest,0.38465902885174363,0.03552308121826699
IDAZOXAN,ElasticNet,-0.10250000000000181,0.04754906829730934
IDAZOXAN,Régression lin.,0.49355270080173097,0.03222699726426556
