Drug,Subtype_A,Subtype_B,MW_stat,p_value,mean_AUC_A,mean_AUC_B
DECITABINE (BRD:BRD-K79254416-001-21-8),Luminal,TNBC-Basal,123.0,0.00036247327816487024,0.7850868154901435,0.5522127493978091
VER-49009 (BRD:BRD-K38548312-001-01-0),Luminal,TNBC-Basal,80.0,0.0005736335109885613,0.8778862982402869,0.8416592927838786
LY2603618 (BRD:BRD-K14109347-001-03-4),Luminal,TNBC-Basal,120.0,0.0007227991774181961,0.9074947005395193,0.7596402031191897
BAY-11-7085 (BRD:BRD-K48684885-001-04-2),Luminal,TNBC-Basal,77.0,0.0014784647972275091,0.8760058525454565,0.841664909132061
SCH-900776 (BRD:BRD-K75009076-001-02-1),Luminal,TNBC-Basal,116.0,0.001736925977468955,0.8846351906714219,0.7216906416094323
BNTX (BRD:BRD-A55484088-050-02-5),Luminal,TNBC-Basal,66.0,0.0024681201151789383,0.9131678643489989,0.8457498374620396
LEVOBUNOLOL (BRD:BRD-K31812033-003-11-0),Luminal,TNBC-Mes,36.0,0.002797202797202797,0.98905332775936,0.932487329598503
CARVEDILOL (BRD:BRD-A10977446-001-12-1),Luminal,TNBC-Mes,36.0,0.002797202797202797,0.9790015346525642,0.890480103523738
BNC105 (BRD:BRD-K20468903-001-01-6),Luminal,TNBC-Mes,36.0,0.002797202797202797,0.7705310801440418,0.47500378223760975
CARVEDILOL (BRD:BRD-A10977446-001-12-1),Luminal,TNBC-Basal,58.0,0.003321678321678322,0.9790015346525642,0.9115808272042992
BNTX (BRD:BRD-A55484088-050-02-5),Luminal,TNBC-Mes,35.0,0.005594405594405594,0.9131678643489989,0.8479686636643743
IDAZOXAN (BRD:BRD-A18696154-003-22-6),Luminal,TNBC-Mes,36.0,0.006850503187371088,0.9564998656049362,0.8776603151382844
DECITABINE (BRD:BRD-K79254416-001-21-8),TNBC-Basal,TNBC-Mes,4.0,0.007992007992007992,0.5522127493978091,0.7134739216785999
BNC105 (BRD:BRD-K20468903-001-01-6),Luminal,TNBC-Basal,71.0,0.008071487425268009,0.7705310801440418,0.5761138583268326
IDAZOXAN (BRD:BRD-A18696154-003-22-6),Luminal,TNBC-Basal,63.0,0.01072518276391703,0.9564998656049362,0.9071832627114927
BAY-11-7085 (BRD:BRD-K48684885-001-04-2),Luminal,TNBC-Mes,34.0,0.011188811188811189,0.8760058525454565,0.8551926179880135
VER-49009 (BRD:BRD-K38548312-001-01-0),Luminal,TNBC-Mes,34.0,0.011188811188811189,0.8778862982402869,0.841172341804573
LEVOBUNOLOL (BRD:BRD-K31812033-003-11-0),Luminal,TNBC-Basal,55.0,0.011538461538461539,0.98905332775936,0.9698159596957812
SCH-900776 (BRD:BRD-K75009076-001-02-1),Luminal,TNBC-Mes,57.0,0.014005602240896357,0.8846351906714219,0.7117348420636026
LY2603618 (BRD:BRD-K14109347-001-03-4),Luminal,TNBC-Mes,57.0,0.01793442814408847,0.9074947005395193,0.7931536067709992
IDAZOXAN (BRD:BRD-A18696154-003-22-6),TNBC-Basal,TNBC-Mes,29.0,0.028282828282828285,0.9071832627114927,0.8776603151382844
LEVOBUNOLOL (BRD:BRD-K31812033-003-11-0),TNBC-Basal,TNBC-Mes,25.0,0.04242424242424242,0.9698159596957812,0.932487329598503
DECITABINE (BRD:BRD-K79254416-001-21-8),Luminal,TNBC-Mes,48.0,0.14332399626517275,0.7850868154901435,0.7134739216785999
BNC105 (BRD:BRD-K20468903-001-01-6),TNBC-Basal,TNBC-Mes,28.0,0.14825174825174825,0.5761138583268326,0.47500378223760975
BAY-11-7085 (BRD:BRD-K48684885-001-04-2),TNBC-Basal,TNBC-Mes,10.0,0.2601398601398601,0.841664909132061,0.8551926179880135
CARVEDILOL (BRD:BRD-A10977446-001-12-1),TNBC-Basal,TNBC-Mes,19.0,0.4121212121212121,0.9115808272042992,0.890480103523738
BNTX (BRD:BRD-A55484088-050-02-5),TNBC-Basal,TNBC-Mes,21.0,0.46060606060606063,0.8457498374620396,0.8479686636643743
LY2603618 (BRD:BRD-K14109347-001-03-4),TNBC-Basal,TNBC-Mes,20.0,0.594072594072594,0.7596402031191897,0.7931536067709992
VER-49009 (BRD:BRD-K38548312-001-01-0),TNBC-Basal,TNBC-Mes,15.0,0.7104895104895105,0.8416592927838786,0.841172341804573
SCH-900776 (BRD:BRD-K75009076-001-02-1),TNBC-Basal,TNBC-Mes,28.0,0.7678987678987679,0.7216906416094323,0.7117348420636026
