Drug,KW_stat,p_value,p_fdr,significant_fdr,note
DECITABINE (BRD:BRD-K79254416-001-21-8),15.453808260704818,0.00044080668688672796,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
VER-49009 (BRD:BRD-K38548312-001-01-0),13.878129117259547,0.0009691757803746729,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
LY2603618 (BRD:BRD-K14109347-001-03-4),13.632643348986083,0.0010957440217931214,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
BAY-11-7085 (BRD:BRD-K48684885-001-04-2),12.86034255599472,0.0016121746807871127,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
IDAZOXAN (BRD:BRD-A18696154-003-22-6),12.729044834307993,0.001721563452270926,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
SCH-900776 (BRD:BRD-K75009076-001-02-1),12.120159151193633,0.002334215133576139,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
LEVOBUNOLOL (BRD:BRD-K31812033-003-11-0),12.112358276643988,0.0023433373720851223,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
BNC105 (BRD:BRD-K20468903-001-01-6),11.953886693017125,0.002536567863567627,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
CARVEDILOL (BRD:BRD-A10977446-001-12-1),11.951814058956913,0.0025391979145906133,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
BNTX (BRD:BRD-A55484088-050-02-5),11.547258297258296,0.0031084559703544214,0.3115966667629955,False,Top 10 exploratoire (FDR non significatif)
